''Date'',''Open'',''High'',''Low'',''Close'',''Adj Close'',''Volume'',''ticker''
''1/3/2023'',''85.45999908447266'',''86.95999908447266'',''84.20999908447266'',''85.81999969482422'',''85.81999969482422'',76706000,''AMZN''
''1/4/2023'',''86.55000305175781'',86.98000336,''83.36000061035156'',''85.13999938964844'',''85.13999938964844'',68885100,''AMZN''
''1/5/2023'',''85.33000183105469'',''85.41999816894531'',''83.06999969482422'',''83.12000274658203'',''83.12000274658203'',67930800,''AMZN''
''1/6/2023'',''83.02999877929688'',86.40000153,''81.43000030517578'',''86.08000183105469'',''86.08000183105469'',83303400,''AMZN''
''1/9/2023'',''87.45999908447266'',89.48000336,''87.08000183105469'',''87.36000061035156'',''87.36000061035156'',65266100,''AMZN''
''1/10/2023'',''87.56999969482422'',''90.19000244140625'',''87.29000091552734'',''89.87000274658203'',''89.87000274658203'',67756600,''AMZN''
''1/11/2023'',''90.93000030517578'',''95.26000213623047'',''90.93000030517578'',''95.08999633789062'',''95.08999633789062'',103126200,''AMZN''
''1/12/2023'',''96.93000030517578'',''97.19000244140625'',93.5,95.26999664,95.26999664,85254800,''AMZN''
''1/13/2023'',''94.18000030517578'',''98.37000274658203'',''94.12000274658203'',''98.12000274658203'',''98.12000274658203'',85549400,''AMZN''
''1/17/2023'',''98.68000030517578'',''98.88999938964844'',95.73000336,''96.05000305175781'',''96.05000305175781'',72755000,''AMZN''
''1/18/2023'',''97.25'',''99.31999969482422'',''95.37999725341797'',''95.45999908447266'',''95.45999908447266'',79570400,''AMZN''
''1/19/2023'',''94.73999786376953'',''95.44000244140625'',''92.86000061035156'',''93.68000030517578'',''93.68000030517578'',69002700,''AMZN''
''1/20/2023'',''93.86000061035156'',97.34999847,''93.19999694824219'',97.25,97.25,67481500,''AMZN''
''1/23/2023'',''97.55999755859375'',''97.77999877929688'',''95.86000061035156'',97.51999664,97.51999664,76501100,''AMZN''
''1/24/2023'',''96.93000030517578'',''98.08999633789062'',96,''96.31999969482422'',''96.31999969482422'',66929500,''AMZN''
''1/25/2023'',''92.55999755859375'',''97.23999786376953'',91.51999664,''97.18000030517578'',''97.18000030517578'',94261600,''AMZN''
''1/26/2023'',''98.23999786376953'',''99.48999786376953'',''96.91999816894531'',''99.22000122070312'',''99.22000122070312'',68523600,''AMZN''
''1/27/2023'',''99.52999877929688'',''103.48999786376953'',''99.52999877929688'',''102.23999786376953'',''102.23999786376953'',87775600,''AMZN''
''1/30/2023'',''101.08999633789062'',''101.73999786376953'',''99.01000213623047'',''100.55000305175781'',''100.55000305175781'',70691900,''AMZN''
''1/31/2023'',''101.16000366210938'',''103.3499984741211'',''101.13999938964844'',''103.12999725341797'',''103.12999725341797'',66527300,''AMZN''
''2/1/2023'',''102.52999877929688'',''106.23999786376953'',''101.23999786376953'',''105.1500015258789'',''105.1500015258789'',80450100,''AMZN''
''2/2/2023'',110.25,114,''108.87999725341797'',''112.91000366210938'',''112.91000366210938'',158154200,''AMZN''
''2/3/2023'',''105.26000213623047'',''108.77999877929688'',''102.5199966430664'',''103.38999938964844'',''103.38999938964844'',144374800,''AMZN''
''2/6/2023'',''102.93000030517578'',''103.94999694824219'',''100.6500015258789'',''102.18000030517578'',''102.18000030517578'',81945200,''AMZN''
''2/7/2023'',''101.16999816894531'',''102.41000366210938'',''98.08000183105469'',''102.11000061035156'',''102.11000061035156'',119501300,''AMZN''
''2/8/2023'',''102.04000091552734'',''102.66999816894531'',''98.77999877929688'',''100.05000305175781'',''100.05000305175781'',75878300,''AMZN''
''2/9/2023'',''101.31999969482422'',''101.77999877929688'',''97.56999969482422'',''98.23999786376953'',''98.23999786376953'',64622500,''AMZN''
''2/10/2023'',''97.55999755859375'',''98.81999969482422'',96.23000336,''97.61000061035156'',''97.61000061035156'',52740100,''AMZN''
''2/13/2023'',97.84999847,''99.68000030517578'',''96.91000366210938'',''99.54000091552734'',''99.54000091552734'',52841500,''AMZN''
''2/14/2023'',''98.41000366210938'',''100.91999816894531'',97.51999664,''99.69999694824219'',''99.69999694824219'',56202900,''AMZN''
''2/15/2023'',''99.08999633789062'',''101.16999816894531'',''98.44999694824219'',''101.16000366210938'',''101.16000366210938'',47957600,''AMZN''
''2/16/2023'',''99.20999908447266'',''100.62999725341797'',98.09999847,98.15000153,98.15000153,56339200,''AMZN''
''2/17/2023'',''97.80000305175781'',''97.94000244140625'',95.65000153,''97.19999694824219'',''97.19999694824219'',60029400,''AMZN''
''2/21/2023'',''95.33999633789062'',''95.61000061035156'',94.26999664,''94.58000183105469'',''94.58000183105469'',56580400,''AMZN''
